Epoch,Training Loss
1,0.438
2,0.1732
3,0.1332
4,0.1195
5,0.1115
6,0.1104
7,0.114
8,0.1166
9,0.122
10,0.127
11,0.0565
12,0.0362
13,0.0299
14,0.0252
15,0.0221
16,0.0194
17,0.0178
18,0.0164
19,0.015
20,0.0149
21,0.0131
22,0.0124
23,0.0117
24,0.0121
25,0.0115
26,0.0115
27,0.0115
28,0.0115
29,0.0113
30,0.0112
