Epoch,Training Loss
1,0.4585
2,0.1907
3,0.1489
4,0.1322
5,0.1279
6,0.1271
7,0.129
8,0.1366
9,0.1369
10,0.1436
11,0.0623
12,0.0397
13,0.0321
14,0.0275
15,0.0237
16,0.021
17,0.0187
18,0.0177
19,0.0161
20,0.0157
21,0.0136
22,0.0124
23,0.0122
24,0.0124
25,0.012
26,0.012
27,0.0117
28,0.0121
29,0.0117
30,0.0116
